"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"395",0.01,8,0.8,0.5,0.997555819791254,0.954273504273504
"396",0.01,8,0.8,0.6,0.997859690844233,0.94957264957265
"397",0.01,8,0.8,0.7,0.997661514070551,0.956410256410256
"398",0.01,8,0.8,0.8,0.997271766415643,0.956837606837607
"399",0.01,8,0.8,0.9,0.997298189985467,0.956410256410256
"400",0.01,8,0.8,1,0.997119830889153,0.956837606837607
"401",0.01,8,0.9,0.1,0.99808429118774,0.966239316239316
"402",0.01,8,0.9,0.2,0.998322103316158,0.960897435897436
"403",0.01,8,0.9,0.3,0.99848725062756,0.957478632478633
"404",0.01,8,0.9,0.4,0.998612762584225,0.960042735042735
"405",0.01,8,0.9,0.5,0.998427797595455,0.949358974358974
"406",0.01,8,0.9,0.6,0.99818337957458,0.952136752136752
"407",0.01,8,0.9,0.7,0.99808429118774,0.951709401709402
"408",0.01,8,0.9,0.8,0.998262650284053,0.951068376068376
"409",0.01,8,0.9,0.9,0.997608666930902,0.953846153846154
"410",0.01,8,0.9,1,0.997238736953362,0.95534188034188
"411",0.01,8,1,0.1,0.998599550799313,0.964957264957265
"412",0.01,8,1,0.2,0.99892323952966,0.961752136752137
"413",0.01,8,1,0.3,0.998943057207029,0.958119658119658
"414",0.01,8,1,0.4,0.999180869335447,0.955769230769231
"415",0.01,8,1,0.5,0.998692033293698,0.954700854700855
"416",0.01,8,1,0.6,0.998810939357907,0.952777777777778
"417",0.01,8,1,0.7,0.998467432950192,0.952777777777778
"418",0.01,8,1,0.8,0.998632580261593,0.95042735042735
"419",0.01,8,1,0.9,0.997621878715815,0.953846153846154
"420",0.01,8,1,1,0.997080195534417,0.938782051282051
"421",0.01,9,0.5,0.1,0.993301625049544,0.961324786324786
"422",0.01,9,0.5,0.2,0.994484079799181,0.959615384615385
"423",0.01,9,0.5,0.3,0.993592284317611,0.954273504273504
"424",0.01,9,0.5,0.4,0.993777249306381,0.958119658119658
